city,bedrooms,city_center_dist_km,daily_price,weekends
Amsterdam,1,2.013,602.02,1
London,1,6.372,417.7,0
London,1,1.707,465.67,1
Amsterdam,2,1.859,1301.53,1
Amsterdam,2,3.719,1001.8,0
London,1,4.38,420.05,0
London,0,4.717,612.2,1
London,2,0.633,1464.76,1
Amsterdam,2,2.567,409.39,0
Amsterdam,0,4.157,344.25,0
Amsterdam,0,5.213,344.25,0
London,0,9.303,172.86,1
Barcelona,3,2.647,735.91,0
London,1,4.307,599.26,1
Barcelona,3,1.644,416.37,0
London,2,7.502,976.74,1
London,1,4.917,341.02,0
London,0,4.098,355.61,0
Barcelona,2,0.778,593.48,0
Barcelona,2,3.179,462.68,1
London,2,5.129,322.21,1
Amsterdam,1,0.903,651.23,1
Barcelona,2,0.791,532.04,0
London,3,9.203,253.53,1
London,1,5.336,288.58,1
London,1,4.652,333.5,1
London,1,5.81,389.71,0
Amsterdam,2,11.038,491.65,0
London,1,2.106,572.92,0
London,1,6.183,256.12,1
London,1,4.675,721.56,0
London,1,1.636,383.12,0
Amsterdam,2,1.611,860.26,1
Barcelona,1,1.618,601.62,1
London,1,4.03,344.08,1
Amsterdam,1,0.803,798.87,1
London,2,6.198,399.82,1
London,2,2.216,493.43,0
Barcelona,3,2.491,983.78,0
Barcelona,2,1.927,422.42,0
London,0,3.163,475.08,0
Amsterdam,2,0.692,1527.66,1
London,1,6.555,349.02,1
London,1,5.161,303.86,1
London,1,5.178,451.09,1
London,2,3.083,283.87,1
London,1,6.389,426.63,1
Amsterdam,1,2.819,509.92,0
London,1,1.688,463.79,1
London,0,4.185,353.96,0
London,2,9.253,336.32,0
London,1,3.231,521.88,1
London,0,5.24,401.94,1
Amsterdam,2,3.761,749.65,1
Barcelona,2,1.738,489.45,0
London,2,3.682,824.57,1
London,2,8.157,438.16,0
London,1,3.809,309.27,1
London,1,4.456,445.92,0
London,1,1.208,449.68,1
London,2,14.058,645.59,1
London,2,3.788,709.8,0
London,1,6.798,345.26,1
Barcelona,3,3.624,312.57,0
Amsterdam,1,1.379,669.74,1
Amsterdam,2,1.147,798.63,1
London,2,1.956,435.81,0
Barcelona,3,1.673,475.71,0
London,1,4.868,438.16,1
London,1,4.967,407.58,1
Amsterdam,2,1.309,921.66,0
